category,subcategory,name,value
Herbstferien,Bremen,end,1603497600.0
Herbstferien,Hamburg,end,1602806400.0
Herbstferien,Hessen,end,1602892800.0
Herbstferien,Mecklenburg-Vorpommern,end,1602288000.0
Herbstferien,Niedersachsen,end,1603411200.0
Herbstferien,Nordrhein-Westfalen,end,1603497600.0
Herbstferien,Rheinland-Pfalz,end,1603411200.0
Herbstferien,Saarland,end,1603411200.0
Herbstferien,Sachsen,end,1604102400.0
Herbstferien,Sachsen-Anhalt,end,1603497600.0
Herbstferien,Schleswig-Holstein,end,1602892800.0
Herbstferien,Thüringen,end,1604016000.0
Weihnachtsferien,Baden-Württemberg,end,1630454400.0
Weihnachtsferien,Bayern,end,1630454400.0
Weihnachtsferien,Berlin,end,1612137600.0
Weihnachtsferien,Brandenburg,end,1612137600.0
Weihnachtsferien,Bremen,end,1627776000.0
Weihnachtsferien,Hamburg,end,1617235200.0
Weihnachtsferien,Hessen,end,1630454400.0
Weihnachtsferien,Mecklenburg-Vorpommern,end,1612137600.0
Weihnachtsferien,Niedersachsen,end,1627776000.0
Weihnachtsferien,Nordrhein-Westfalen,end,1622505600.0
Weihnachtsferien,Rheinland-Pfalz,end,1612137600.0
Weihnachtsferien,Saarland,end,1612137600.0
Weihnachtsferien,Sachsen,end,1612137600.0
Weihnachtsferien,Sachsen-Anhalt,end,1619827200.0
Weihnachtsferien,Schleswig-Holstein,end,1622505600.0
Weihnachtsferien,Thüringen,end,1612137600.0
Winterferien2021,Bayern,end,1613692800.0
Winterferien2021,Berlin,end,1622592000.0
Winterferien2021,Brandenburg,end,1622592000.0
Winterferien2021,Bremen,end,1612224000.0
Winterferien2021,Hamburg,end,1611878400.0
Winterferien2021,Mecklenburg-Vorpommern,end,1613692800.0
Winterferien2021,Niedersachsen,end,1612224000.0
Winterferien2021,Saarland,end,1613692800.0
Winterferien2021,Sachsen,end,1613779200.0
Winterferien2021,Sachsen-Anhalt,end,1613174400.0
Winterferien2021,Thüringen,end,1613174400.0
Osterferien2021,Baden-Württemberg,end,1633305600.0
Osterferien2021,Bayern,end,1633305600.0
Osterferien2021,Berlin,end,1633305600.0
Osterferien2021,Brandenburg,end,1630713600.0
Osterferien2021,Bremen,end,1633305600.0
Osterferien2021,Hamburg,end,1638489600.0
Osterferien2021,Hessen,end,1618531200.0
Osterferien2021,Mecklenburg-Vorpommern,end,1625356800.0
Osterferien2021,Niedersachsen,end,1630713600.0
Osterferien2021,Nordrhein-Westfalen,end,1633305600.0
Osterferien2021,Rheinland-Pfalz,end,1622764800.0
Osterferien2021,Saarland,end,1625356800.0
Osterferien2021,Sachsen,end,1633305600.0
Osterferien2021,Sachsen-Anhalt,end,1614816000.0
Osterferien2021,Schleswig-Holstein,end,1618531200.0
Osterferien2021,Thüringen,end,1633305600.0
other_non_recurrent,n_contacts,0,0.511300360301343
other_non_recurrent,n_contacts,1,0.1467409105797576
other_non_recurrent,n_contacts,2,0.11300360301342942
other_non_recurrent,n_contacts,3,0.06649197510645267
other_non_recurrent,n_contacts,4,0.03537504094333443
other_non_recurrent,n_contacts,5,0.019980347199475924
